Outlet Name,Outlet GSTIN Code,Invoice No,Invoice Date,Taxable Line Amt,SGST_Tax_Rate,SGST_Tax_Value,CGST_Tax_Rate,CGST_Tax_Value,Cess_Tax_Rate,Cess_Tax_Value,Total Tax Amount,Net Amount
FREEZING POINT,,580118000279,6/15/2018,530.98,6,31.86,6,31.86,0,0,63.72,594.7
FREEZING POINT,,580118000279,6/15/2018,914.3,14,128,14,128,12,109.72,365.72,1280.02
FREEZING POINT,,580118000279,6/15/2018,731.44,14,102.4,14,102.4,12,87.77,292.57,1024.01
BARABATI  RESTAURANT,,580118000280,6/15/2018,179.51,9,16.16,9,16.16,0,0,32.32,211.83
BARABATI  RESTAURANT,,580118000280,6/15/2018,172.19,9,15.5,9,15.5,0,0,31,203.19
BARABATI  RESTAURANT,,580118000280,6/15/2018,680.88,14,95.32,14,95.32,12,81.71,272.35,953.23
BARABATI  RESTAURANT,,580118000280,6/15/2018,453.92,14,63.55,14,63.55,12,54.47,181.57,635.49
DRAGON INN,,580118000281,6/18/2018,779.22,14,109.09,14,109.09,12,93.51,311.69,1090.91
DRAGON INN,,580118000281,6/18/2018,779.22,14,109.09,14,109.09,12,93.51,311.69,1090.91
GOURANGO SAHOO,,580118000282,6/18/2018,2989.53,6,179.37,6,179.37,0,0,358.74,3348.27
KING OF KING,,580118000283,6/18/2018,1795.1,9,161.56,9,161.56,0,0,323.12,2118.22
APP KA BAR APSARA BAR,,580118000284,6/18/2018,1795.1,9,161.56,9,161.56,0,0,323.12,2118.22
GIRNAR HOTEL,,580118000285,6/18/2018,1795.1,9,161.56,9,161.56,0,0,323.12,2118.22
WINE TIME,,580118000286,6/18/2018,1795.1,9,161.56,9,161.56,0,0,323.12,2118.22
GIRI BETTLE SHOP/,,580118000287,6/18/2018,1077.1,9,96.94,9,96.94,0,0,193.88,1270.98
GIRI BETTLE SHOP/,,580118000287,6/18/2018,914.3,14,128,14,128,12,109.72,365.72,1280.02
BARABATI  RESTAURANT,,580118000288,6/19/2018,359.02,9,32.31,9,32.31,0,0,64.62,423.64
BARABATI  RESTAURANT,,580118000288,6/19/2018,226.96,14,31.77,14,31.77,12,27.24,90.78,317.74
BARABATI  RESTAURANT,,580118000288,6/19/2018,1815.68,14,254.2,14,254.2,12,217.88,726.28,2541.96
CUTTACK CLUB--,21AABCC7150M1ZT,580118000289,6/21/2018,914.3,14,128,14,128,12,109.72,365.72,1280.02
CUTTACK CLUB--,21AABCC7150M1ZT,580118000289,6/21/2018,365.72,14,51.2,14,51.2,12,43.89,146.29,512.01
CUTTACK CLUB--,21AABCC7150M1ZT,580118000289,6/21/2018,548.58,14,76.8,14,76.8,12,65.83,219.43,768.01
ORISSA CRICKET ASSOCIATION CLUB,21AAAAO0319F1ZC,580118000290,6/22/2018,1256.57,9,113.09,9,113.09,0,0,226.18,1482.75
ORISSA CRICKET ASSOCIATION CLUB,21AAAAO0319F1ZC,580118000290,6/22/2018,1588.72,14,222.42,14,222.42,12,190.65,635.49,2224.21
ORISSA CRICKET ASSOCIATION CLUB,21AAAAO0319F1ZC,580118000290,6/22/2018,1588.72,14,222.42,14,222.42,12,190.65,635.49,2224.21
ORISSA CRICKET ASSOCIATION CLUB,21AAAAO0319F1ZC,580118000290,6/22/2018,1009.08,14,141.27,14,141.27,12,121.09,403.63,1412.71
BARABATI  RESTAURANT,,580118000291,6/23/2018,680.88,14,95.32,14,95.32,12,81.71,272.35,953.23
FREEZING POINT,,580118000292,6/23/2018,548.58,14,76.8,14,76.8,12,65.83,219.43,768.01
FREEZING POINT,,580118000292,6/23/2018,548.58,14,76.8,14,76.8,12,65.83,219.43,768.01
FREEZING POINT,,580118000292,6/23/2018,430.84,9,38.78,9,38.78,0,0,77.56,508.4
FREEZING POINT,,580118000292,6/23/2018,633.12,6,37.99,6,37.99,0,0,75.98,709.1
FREEZING POINT,,580118000292,6/23/2018,525.97,14,73.64,14,73.64,12,63.12,210.4,736.37
FREEZING POINT,,580118000292,6/23/2018,265.49,6,15.93,6,15.93,0,0,31.86,297.35
FREEZING POINT,,580118000292,6/23/2018,512.42,6,30.75,6,30.75,0,0,61.5,573.92
FREEZING POINT,,580118000292,6/23/2018,779.22,14,109.09,14,109.09,12,93.51,311.69,1090.91
FREEZING POINT,,580118000292,6/23/2018,779.22,6,46.75,6,46.75,0,0,93.5,872.72
FREEZING POINT,,580118000292,6/23/2018,311.69,14,43.64,14,43.64,12,37.4,124.68,436.37
FREEZING POINT,,580118000292,6/23/2018,311.69,14,43.64,14,43.64,12,37.4,124.68,436.37
BARABATI  RESTAURANT,,580118000293,6/25/2018,680.88,14,95.32,14,95.32,12,81.71,272.35,953.23
BARABATI  RESTAURANT,,580118000293,6/25/2018,453.92,14,63.55,14,63.55,12,54.47,181.57,635.49
ORISSA CRICKET ASSOCIATION CLUB,21AAAAO0319F1ZC,580118000294,6/25/2018,1009.08,14,141.27,14,141.27,12,121.09,403.63,1412.71
DRAGON INN,,580118000476,6/27/2018,779.22,14,109.09,14,109.09,12,93.51,311.69,1090.91
DRAGON INN,,580118000476,6/27/2018,779.22,14,109.09,14,109.09,12,93.51,311.69,1090.91
DRAGON INN,,580118000476,6/27/2018,602.64,9,54.24,9,54.24,0,0,108.48,711.12
DRAGON INN,,580118000476,6/27/2018,344.38,9,30.99,9,30.99,0,0,61.98,406.36
CUTTACK CLUB--,21AABCC7150M1ZT,00580118O00477,6/28/2018,1292.52,9,116.33,9,116.33,0,0,232.66,1525.18
CUTTACK CLUB--,21AABCC7150M1ZT,00580118O00477,6/28/2018,1828.6,14,256,14,256,12,219.43,731.43,2560.03
CUTTACK CLUB--,21AABCC7150M1ZT,00580118O00477,6/28/2018,3013.2,9,271.19,9,271.19,0,0,542.38,3555.58
CUTTACK CLUB--,21AABCC7150M1ZT,00580118O00477,6/28/2018,731.44,14,102.4,14,102.4,12,87.77,292.57,1024.01
BARABATI  RESTAURANT,,00580118O00478,6/30/2018,226.96,14,31.77,14,31.77,12,27.24,90.78,317.74
DAMINI STOR ALISHA BAZAR,,580218001773,6/27/2018,97.4,14,13.64,14,13.64,12,11.69,38.97,136.37
DAMINI STOR ALISHA BAZAR,,580218001773,6/27/2018,115.56,9,10.4,9,10.4,0,0,20.8,136.36
DAMINI STOR ALISHA BAZAR,,580218001773,6/27/2018,116.88,14,16.36,14,16.36,12,14.03,46.75,163.63
DAMINI STOR ALISHA BAZAR,,580218001773,6/27/2018,116.88,14,16.36,14,16.36,12,14.03,46.75,163.63
DAMINI STOR ALISHA BAZAR,,580218001773,6/27/2018,51.95,14,7.27,14,7.27,12,6.23,20.77,72.72
DAMINI STOR ALISHA BAZAR,,580218001773,6/27/2018,51.95,14,7.27,14,7.27,12,6.23,20.77,72.72
DAMINI STOR ALISHA BAZAR,,580218001773,6/27/2018,105.52,6,6.33,6,6.33,0,0,12.66,118.18
DAMINI STOR ALISHA BAZAR,,580218001773,6/27/2018,64.93,6,3.9,6,3.9,0,0,7.8,72.73
DAMINI STOR ALISHA BAZAR,,580218001773,6/27/2018,77.64,6,4.66,6,4.66,0,0,9.32,86.96
MAA TARINI VERIETY STORE,,580218001774,6/27/2018,97.4,14,13.64,14,13.64,12,11.69,38.97,136.37
MAA TARINI VERIETY STORE,,580218001774,6/27/2018,97.4,14,13.64,14,13.64,12,11.69,38.97,136.37
MAA TARINI VERIETY STORE,,580218001774,6/27/2018,97.4,14,13.64,14,13.64,12,11.69,38.97,136.37
MAA TARINI VERIETY STORE,,580218001774,6/27/2018,115.56,9,10.4,9,10.4,0,0,20.8,136.36
MAA TARINI VERIETY STORE,,580218001774,6/27/2018,233.77,14,32.73,14,32.73,12,28.05,93.51,327.28
MAA TARINI VERIETY STORE,,580218001774,6/27/2018,215.42,9,19.39,9,19.39,0,0,38.78,254.2
MAA TARINI VERIETY STORE,,580218001774,6/27/2018,45.72,14,6.4,14,6.4,12,5.49,18.29,64.01
MAA TARINI VERIETY STORE,,580218001774,6/27/2018,45.72,14,6.4,14,6.4,12,5.49,18.29,64.01
MAA TARINI VERIETY STORE,,580218001774,6/27/2018,77.92,14,10.91,14,10.91,12,9.35,31.17,109.09
MAA TARINI VERIETY STORE,,580218001774,6/27/2018,77.92,14,10.91,14,10.91,12,9.35,31.17,109.09
MAA TARINI VERIETY STORE,,580218001774,6/27/2018,105.52,6,6.33,6,6.33,0,0,12.66,118.18
MAA TARINI VERIETY STORE,,580218001774,6/27/2018,66.37,6,3.98,6,3.98,0,0,7.96,74.33
MAA TARINI VERIETY STORE,,580218001774,6/27/2018,97.4,6,5.84,6,5.84,0,0,11.68,109.08
LADIES FASHOIN,,580218001775,6/27/2018,172.19,9,15.5,9,15.5,0,0,31,203.19
LADIES FASHOIN,,580218001775,6/27/2018,265.49,6,15.93,6,15.93,0,0,31.86,297.35
BABA BAIDYANTH,,580218001776,6/27/2018,97.4,14,13.64,14,13.64,12,11.69,38.97,136.37
BABA BAIDYANTH,,580218001776,6/27/2018,97.4,14,13.64,14,13.64,12,11.69,38.97,136.37
BABA BAIDYANTH,,580218001776,6/27/2018,38.96,14,5.45,14,5.45,12,4.68,15.58,54.54
BABA BAIDYANTH,,580218001776,6/27/2018,77.92,14,10.91,14,10.91,12,9.35,31.17,109.09
BABA BAIDYANTH,,580218001776,6/27/2018,77.92,14,10.91,14,10.91,12,9.35,31.17,109.09
BABA BAIDYANTH,,580218001776,6/27/2018,77.92,14,10.91,14,10.91,12,9.35,31.17,109.09
HOME MADE-,,580218001777,6/27/2018,194.8,14,27.27,14,27.27,12,23.38,77.92,272.72
HOME MADE-,,580218001777,6/27/2018,231.12,9,20.8,9,20.8,0,0,41.6,272.72
HOME MADE-,,580218001777,6/27/2018,301.32,9,27.12,9,27.12,0,0,54.24,355.56
HOME MADE-,,580218001777,6/27/2018,172.19,9,15.5,9,15.5,0,0,31,203.19
HOME MADE-,,580218001777,6/27/2018,545.46,14,76.36,14,76.36,12,65.46,218.18,763.64
CHANDI VARIETY STORE,,580218001778,6/27/2018,77.92,14,10.91,14,10.91,12,9.35,31.17,109.09
CHANDI VARIETY STORE,,580218001778,6/27/2018,77.92,14,10.91,14,10.91,12,9.35,31.17,109.09
CHANDI VARIETY STORE,,580218001778,6/27/2018,605.05,6,36.3,6,36.3,0,0,72.6,677.65
BISHNU BETTLE SHOP,,580218001779,6/27/2018,77.92,14,10.91,14,10.91,12,9.35,31.17,109.09
BISHNU BETTLE SHOP,,580218001779,6/27/2018,77.92,14,10.91,14,10.91,12,9.35,31.17,109.09
BISHNU BETTLE SHOP,,580218001779,6/27/2018,77.92,14,10.91,14,10.91,12,9.35,31.17,109.09
BISHNU BETTLE SHOP,,580218001779,6/27/2018,77.92,14,10.91,14,10.91,12,9.35,31.17,109.09
BISHNU BETTLE SHOP,,580218001779,6/27/2018,77.92,14,10.91,14,10.91,12,9.35,31.17,109.09
BISHNU BETTLE SHOP,,580218001779,6/27/2018,77.92,14,10.91,14,10.91,12,9.35,31.17,109.09
BISHNU BETTLE SHOP,,580218001779,6/27/2018,105.52,6,6.33,6,6.33,0,0,12.66,118.18
BISHNU BETTLE SHOP,,580218001779,6/27/2018,97.4,6,5.84,6,5.84,0,0,11.68,109.08
BISHNU BETTLE SHOP,,580218001779,6/27/2018,605.05,6,36.3,6,36.3,0,0,72.6,677.65
PRIYANKA JUICE CENTER,,580218001780,6/27/2018,97.4,14,13.64,14,13.64,12,11.69,38.97,136.37
PRIYANKA JUICE CENTER,,580218001780,6/27/2018,97.4,14,13.64,14,13.64,12,11.69,38.97,136.37
PRIYANKA JUICE CENTER,,580218001780,6/27/2018,91.43,14,12.8,14,12.8,12,10.97,36.57,128
PRIYANKA JUICE CENTER,,580218001780,6/27/2018,91.43,14,12.8,14,12.8,12,10.97,36.57,128
SAROJ STORE ALISHA BAZAR,,580218001781,6/27/2018,97.4,14,13.64,14,13.64,12,11.69,38.97,136.37
SAROJ STORE ALISHA BAZAR,,580218001781,6/27/2018,97.4,14,13.64,14,13.64,12,11.69,38.97,136.37
SAROJ STORE ALISHA BAZAR,,580218001781,6/27/2018,91.43,14,12.8,14,12.8,12,10.97,36.57,128
SAROJ STORE ALISHA BAZAR,,580218001781,6/27/2018,91.43,14,12.8,14,12.8,12,10.97,36.57,128
NANA SWEETS-,,580218001782,6/27/2018,233.77,14,32.73,14,32.73,12,28.05,93.51,327.28
NANA SWEETS-,,580218001782,6/27/2018,91.43,14,12.8,14,12.8,12,10.97,36.57,128
NANA SWEETS-,,580218001782,6/27/2018,91.43,14,12.8,14,12.8,12,10.97,36.57,128
NANA SWEETS-,,580218001782,6/27/2018,158.28,6,9.5,6,9.5,0,0,19,177.28
NANA SWEETS-,,580218001782,6/27/2018,605.05,6,36.3,6,36.3,0,0,72.6,677.65
SEN & SEN,,580218001783,6/27/2018,97.4,14,13.64,14,13.64,12,11.69,38.97,136.37
SEN & SEN,,580218001783,6/27/2018,194.8,14,27.27,14,27.27,12,23.38,77.92,272.72
SEN & SEN,,580218001783,6/27/2018,115.56,9,10.4,9,10.4,0,0,20.8,136.36
SEN & SEN,,580218001783,6/27/2018,77.92,14,10.91,14,10.91,12,9.35,31.17,109.09
SEN & SEN,,580218001783,6/27/2018,77.92,14,10.91,14,10.91,12,9.35,31.17,109.09
SEN & SEN,,580218001783,6/27/2018,91.43,14,12.8,14,12.8,12,10.97,36.57,128
SEN & SEN,,580218001783,6/27/2018,301.32,9,27.12,9,27.12,0,0,54.24,355.56
SEN & SEN,,580218001783,6/27/2018,66.37,6,3.98,6,3.98,0,0,7.96,74.33
SEN & SEN,,580218001783,6/27/2018,77.64,6,4.66,6,4.66,0,0,9.32,86.96
YES SIR,,580218001784,6/27/2018,233.77,14,32.73,14,32.73,12,28.05,93.51,327.28
YES SIR,,580218001784,6/27/2018,215.42,9,19.39,9,19.39,0,0,38.78,254.2
YES SIR,,580218001784,6/27/2018,91.43,14,12.8,14,12.8,12,10.97,36.57,128
YES SIR,,580218001784,6/27/2018,45.72,14,6.4,14,6.4,12,5.49,18.29,64.01
YES SIR,,580218001784,6/27/2018,77.92,14,10.91,14,10.91,12,9.35,31.17,109.09
YES SIR,,580218001784,6/27/2018,77.92,14,10.91,14,10.91,12,9.35,31.17,109.09
YES SIR,,580218001784,6/27/2018,301.32,9,27.12,9,27.12,0,0,54.24,355.56
YES SIR,,580218001784,6/27/2018,97.4,6,5.84,6,5.84,0,0,11.68,109.08
JAGANNATH VARIETY STORE,,580218001785,6/27/2018,97.4,14,13.64,14,13.64,12,11.69,38.97,136.37
JAGANNATH VARIETY STORE,,580218001785,6/27/2018,97.4,14,13.64,14,13.64,12,11.69,38.97,136.37
JAGANNATH VARIETY STORE,,580218001785,6/27/2018,182.86,14,25.6,14,25.6,12,21.94,73.14,256
JAGANNATH VARIETY STORE,,580218001785,6/27/2018,91.43,14,12.8,14,12.8,12,10.97,36.57,128
JAGANNATH VARIETY STORE,,580218001785,6/27/2018,51.95,14,7.27,14,7.27,12,6.23,20.77,72.72
JAGANNATH VARIETY STORE,,580218001785,6/27/2018,51.95,14,7.27,14,7.27,12,6.23,20.77,72.72
JAGANNATH VARIETY STORE,,580218001785,6/27/2018,132.74,6,7.96,6,7.96,0,0,15.92,148.66
JAGANNATH VARIETY STORE,,580218001785,6/27/2018,64.93,6,3.9,6,3.9,0,0,7.8,72.73
MAA TARINI VARIETY STORE,,580218001786,6/27/2018,233.77,14,32.73,14,32.73,12,28.05,93.51,327.28
MAA TARINI VARIETY STORE,,580218001786,6/27/2018,233.77,14,32.73,14,32.73,12,28.05,93.51,327.28
MAA TARINI VARIETY STORE,,580218001786,6/27/2018,182.86,14,25.6,14,25.6,12,21.94,73.14,256
MAA TARINI VARIETY STORE,,580218001786,6/27/2018,182.86,14,25.6,14,25.6,12,21.94,73.14,256
MAA TARINI VARIETY STORE,,580218001786,6/27/2018,77.92,14,10.91,14,10.91,12,9.35,31.17,109.09
MAA TARINI VARIETY STORE,,580218001786,6/27/2018,77.92,14,10.91,14,10.91,12,9.35,31.17,109.09
MAA TARINI VARIETY STORE,,580218001786,6/27/2018,97.4,6,5.84,6,5.84,0,0,11.68,109.08
MAA TARINI VARIETY STORE,,580218001786,6/27/2018,605.05,6,36.3,6,36.3,0,0,72.6,677.65
ZENITH STORE,,580218001787,6/27/2018,97.4,14,13.64,14,13.64,12,11.69,38.97,136.37
ZENITH STORE,,580218001787,6/27/2018,97.4,14,13.64,14,13.64,12,11.69,38.97,136.37
ZENITH STORE,,580218001787,6/27/2018,116.88,14,16.36,14,16.36,12,14.03,46.75,163.63
ZENITH STORE,,580218001787,6/27/2018,116.88,14,16.36,14,16.36,12,14.03,46.75,163.63
ZENITH STORE,,580218001787,6/27/2018,91.43,14,12.8,14,12.8,12,10.97,36.57,128
ZENITH STORE,,580218001787,6/27/2018,91.43,14,12.8,14,12.8,12,10.97,36.57,128
ZENITH STORE,,580218001787,6/27/2018,77.92,14,10.91,14,10.91,12,9.35,31.17,109.09
ZENITH STORE,,580218001787,6/27/2018,77.92,14,10.91,14,10.91,12,9.35,31.17,109.09
ZENITH STORE,,580218001787,6/27/2018,97.4,6,5.84,6,5.84,0,0,11.68,109.08
CITY  TALK,,580218001788,6/27/2018,97.4,14,13.64,14,13.64,12,11.69,38.97,136.37
CITY  TALK,,580218001788,6/27/2018,115.56,9,10.4,9,10.4,0,0,20.8,136.36
CITY  TALK,,580218001788,6/27/2018,116.88,14,16.36,14,16.36,12,14.03,46.75,163.63
CITY  TALK,,580218001788,6/27/2018,91.43,14,12.8,14,12.8,12,10.97,36.57,128
CITY  TALK,,580218001788,6/27/2018,91.43,14,12.8,14,12.8,12,10.97,36.57,128
CITY  TALK,,580218001788,6/27/2018,51.95,14,7.27,14,7.27,12,6.23,20.77,72.72
CITY  TALK,,580218001788,6/27/2018,51.95,14,7.27,14,7.27,12,6.23,20.77,72.72
CITY  TALK,,580218001788,6/27/2018,64.93,6,3.9,6,3.9,0,0,7.8,72.73
MOIN STORE,,580218001789,6/27/2018,97.4,14,13.64,14,13.64,12,11.69,38.97,136.37
MOIN STORE,,580218001789,6/27/2018,97.4,14,13.64,14,13.64,12,11.69,38.97,136.37
MOIN STORE,,580218001789,6/27/2018,215.42,9,19.39,9,19.39,0,0,38.78,254.2
MOIN STORE,,580218001789,6/27/2018,182.86,14,25.6,14,25.6,12,21.94,73.14,256
MOIN STORE,,580218001789,6/27/2018,51.95,14,7.27,14,7.27,12,6.23,20.77,72.72
MOIN STORE,,580218001789,6/27/2018,51.95,14,7.27,14,7.27,12,6.23,20.77,72.72
MOIN STORE,,580218001789,6/27/2018,75.33,9,6.78,9,6.78,0,0,13.56,88.89
MOIN STORE,,580218001789,6/27/2018,64.93,6,3.9,6,3.9,0,0,7.8,72.73
SALMAN  V. STORE,,580218001790,6/27/2018,97.4,14,13.64,14,13.64,12,11.69,38.97,136.37
SALMAN  V. STORE,,580218001790,6/27/2018,194.8,14,27.27,14,27.27,12,23.38,77.92,272.72
SALMAN  V. STORE,,580218001790,6/27/2018,115.56,9,10.4,9,10.4,0,0,20.8,136.36
SALMAN  V. STORE,,580218001790,6/27/2018,77.92,14,10.91,14,10.91,12,9.35,31.17,109.09
SALMAN  V. STORE,,580218001790,6/27/2018,77.92,14,10.91,14,10.91,12,9.35,31.17,109.09
SALMAN  V. STORE,,580218001790,6/27/2018,215.42,9,19.39,9,19.39,0,0,38.78,254.2
SALMAN  V. STORE,,580218001790,6/27/2018,52.76,6,3.17,6,3.17,0,0,6.34,59.1
SALMAN  V. STORE,,580218001790,6/27/2018,146.1,6,8.77,6,8.77,0,0,17.54,163.64
SWEETY,21AARPD9582H1ZG,580218001791,6/27/2018,97.4,14,13.64,14,13.64,12,11.69,38.97,136.37
SWEETY,21AARPD9582H1ZG,580218001791,6/27/2018,97.4,14,13.64,14,13.64,12,11.69,38.97,136.37
SWEETY,21AARPD9582H1ZG,580218001791,6/27/2018,116.88,14,16.36,14,16.36,12,14.03,46.75,163.63
SWEETY,21AARPD9582H1ZG,580218001791,6/27/2018,215.42,9,19.39,9,19.39,0,0,38.78,254.2
SWEETY,21AARPD9582H1ZG,580218001791,6/27/2018,51.95,14,7.27,14,7.27,12,6.23,20.77,72.72
SWEETY,21AARPD9582H1ZG,580218001791,6/27/2018,51.95,14,7.27,14,7.27,12,6.23,20.77,72.72
SWEETY,21AARPD9582H1ZG,580218001791,6/27/2018,301.32,9,27.12,9,27.12,0,0,54.24,355.56
SWEETY,21AARPD9582H1ZG,580218001791,6/27/2018,64.93,6,3.9,6,3.9,0,0,7.8,72.73
PINTU VARIETY STORE,,580218001792,6/27/2018,194.8,14,27.27,14,27.27,12,23.38,77.92,272.72
PINTU VARIETY STORE,,580218001792,6/27/2018,194.8,14,27.27,14,27.27,12,23.38,77.92,272.72
PINTU VARIETY STORE,,580218001792,6/27/2018,233.77,14,32.73,14,32.73,12,28.05,93.51,327.28
PINTU VARIETY STORE,,580218001792,6/27/2018,233.77,14,32.73,14,32.73,12,28.05,93.51,327.28
PINTU VARIETY STORE,,580218001792,6/27/2018,219.16,6,13.15,6,13.15,0,0,26.3,245.46
PINTU VARIETY STORE,,580218001792,6/27/2018,465.84,6,27.95,6,27.95,0,0,55.9,521.74
PRADEEP COMMUNICATION,,580218001793,6/27/2018,97.4,14,13.64,14,13.64,12,11.69,38.97,136.37
PRADEEP COMMUNICATION,,580218001793,6/27/2018,115.56,9,10.4,9,10.4,0,0,20.8,136.36
PRADEEP COMMUNICATION,,580218001793,6/27/2018,182.86,14,25.6,14,25.6,12,21.94,73.14,256
PRADEEP COMMUNICATION,,580218001793,6/27/2018,91.43,14,12.8,14,12.8,12,10.97,36.57,128
PRADEEP COMMUNICATION,,580218001793,6/27/2018,51.95,14,7.27,14,7.27,12,6.23,20.77,72.72
PRADEEP COMMUNICATION,,580218001793,6/27/2018,51.95,14,7.27,14,7.27,12,6.23,20.77,72.72
PRADEEP COMMUNICATION,,580218001793,6/27/2018,301.32,9,27.12,9,27.12,0,0,54.24,355.56
PRADEEP COMMUNICATION,,580218001793,6/27/2018,66.37,6,3.98,6,3.98,0,0,7.96,74.33
PRADEEP COMMUNICATION,,580218001793,6/27/2018,64.93,6,3.9,6,3.9,0,0,7.8,72.73
S.K ALI,,580218001794,6/27/2018,97.4,14,13.64,14,13.64,12,11.69,38.97,136.37
S.K ALI,,580218001794,6/27/2018,97.4,14,13.64,14,13.64,12,11.69,38.97,136.37
S.K ALI,,580218001794,6/27/2018,91.43,14,12.8,14,12.8,12,10.97,36.57,128
S.K ALI,,580218001794,6/27/2018,91.43,14,12.8,14,12.8,12,10.97,36.57,128
S.K ALI,,580218001794,6/27/2018,51.95,14,7.27,14,7.27,12,6.23,20.77,72.72
S.K ALI,,580218001794,6/27/2018,51.95,14,7.27,14,7.27,12,6.23,20.77,72.72
S.K ALI,,580218001794,6/27/2018,301.32,9,27.12,9,27.12,0,0,54.24,355.56
S.K ALI,,580218001794,6/27/2018,64.93,6,3.9,6,3.9,0,0,7.8,72.73
ADITYA VT. STORE,,580218001795,6/27/2018,233.77,14,32.73,14,32.73,12,28.05,93.51,327.28
ADITYA VT. STORE,,580218001795,6/27/2018,107.71,9,9.69,9,9.69,0,0,19.38,127.09
ADITYA VT. STORE,,580218001795,6/27/2018,91.43,14,12.8,14,12.8,12,10.97,36.57,128
ADITYA VT. STORE,,580218001795,6/27/2018,91.43,14,12.8,14,12.8,12,10.97,36.57,128
ADITYA VT. STORE,,580218001795,6/27/2018,77.92,14,10.91,14,10.91,12,9.35,31.17,109.09
ADITYA VT. STORE,,580218001795,6/27/2018,77.92,14,10.91,14,10.91,12,9.35,31.17,109.09
